ngram,prediction,freq,prop
<s>,e's,134,3.17E-05
<s>,e,5570,0.001316103
<s>,ea,58,1.37E-05
<s>,each,2371,0.00056023
<s>,eally,163,3.85E-05
<s>,ean,117,2.76E-05
<s>,earlier,36,8.51E-06
<s>,ecially,39,9.22E-06
<s>,ecided,80,1.89E-05
<s>,ed,334,7.89E-05
<s>,ee,109,2.58E-05
<s>,eed,123,2.91E-05
<s>,eek,35,8.27E-06
<s>,eel,135,3.19E-05
<s>,een,66,1.56E-05
<s>,efully,40,9.45E-06
<s>,either,692,0.000163509
<s>,el,102,2.41E-05
<s>,elieve,50,1.18E-05
<s>,elt,84,1.98E-05
<s>,ely,90,2.13E-05
<s>,ember,114,2.69E-05
<s>,emember,97,2.29E-05
<s>,en,466,0.000110108
<s>,end,46,1.09E-05
<s>,enjoy,894,0.000211238
<s>,ent,140,3.31E-05
<s>,ept,85,2.01E-05
<s>,er,1469,0.000347101
<s>,ere,93,2.20E-05
<s>,ers,40,9.45E-06
<s>,es,288,6.80E-05
<s>,especially,863,0.000203913
<s>,et,173,4.09E-05
<s>,ething,93,2.20E-05
<s>,etimes,191,4.51E-05
<s>,eus,63,1.49E-05
<s>,ev,212,5.01E-05
<s>,even,6106,0.001442751
<s>,eventually,639,0.000150986
<s>,ever,1291,0.000305043
<s>,every,2995,0.000707671
<s>,everyone,1506,0.000355844
<s>,everything,1236,0.000292047
<s>,ew,155,3.66E-05
<s>,ex,50,1.18E-05
<s>,example,149,3.52E-05
<s>,except,623,0.000147205
<s>,ey,83,1.96E-05
<s>,f,305,7.21E-05
<s>,fa,68,1.61E-05
<s>,fact,298,7.04E-05
<s>,far,108,2.55E-05
<s>,fast,37,8.74E-06
<s>,fe,35,8.27E-06
<s>,feel,208,4.91E-05
<s>,fi,249,5.88E-05
<s>,finally,1930,0.000456028
<s>,find,356,8.41E-05
<s>,first,3923,0.000926943
<s>,firstly,70,1.65E-05
<s>,five,38,8.98E-06
<s>,fo,523,0.000123577
<s>,following,542,0.000128066
<s>,food,75,1.77E-05
<s>,for,17855,0.004218853
<s>,fortunately,564,0.000133264
<s>,four,158,3.73E-05
<s>,fr,200,4.73E-05
<s>,free,115,2.72E-05
<s>,friday,468,0.000110581
<s>,from,4291,0.001013895
<s>,fu,33,7.80E-06
<s>,funny,44,1.04E-05
<s>,further,162,3.83E-05
<s>,furthermore,235,5.55E-05
<s>,g,752,0.000177686
<s>,ge,131,3.10E-05
<s>,get,1318,0.000311422
<s>,getting,526,0.000124285
<s>,gh,55,1.30E-05
<s>,ght,80,1.89E-05
<s>,gi,37,8.74E-06
<s>,give,693,0.000163745
<s>,given,620,0.000146496
<s>,go,1448,0.000342139
<s>,god,1844,0.000435708
<s>,going,389,9.19E-05
<s>,good,2040,0.00048202
<s>,got,377,8.91E-05
<s>,gr,122,2.88E-05
<s>,great,870,0.000205567
<s>,green,75,1.77E-05
<s>,guess,182,4.30E-05
<s>,h,1504,0.000355371
<s>,ha,701,0.000165635
<s>,had,1156,0.000273144
<s>,happy,1699,0.000401447
<s>,haps,161,3.80E-05
<s>,has,1049,0.000247862
<s>,hat,46,1.09E-05
<s>,have,3598,0.00085015
<s>,having,1596,0.000377109
<s>,he's,1321,0.000312131
<s>,he,35547,0.008399192
<s>,heat,554,0.000130901
<s>,hell,36,8.51E-06
<s>,hello,1030,0.000243373
<s>,hen,74,1.75E-05
<s>,hence,277,6.55E-05
<s>,her,4245,0.001003026
<s>,here's,2106,0.000497614
<s>,here,6813,0.001609804
<s>,hereus,1402,0.00033127
<s>,heus,1448,0.000342139
<s>,hey,933,0.000220453
<s>,hi,922,0.000217854
<s>,high,33,7.80E-06
<s>,hing,111,2.62E-05
<s>,hink,602,0.000142243
<s>,his,5829,0.0013773
<s>,ho,434,0.000102547
<s>,honestly,452,0.0001068
<s>,hope,1483,0.000350409
<s>,hopefully,939,0.000221871
<s>,hough,235,5.55E-05
<s>,hought,173,4.09E-05
<s>,hould,39,9.22E-06
<s>,hout,46,1.09E-05
<s>,how,8676,0.002050001
<s>,however,7867,0.001858847
<s>,ht,137,3.24E-05
<s>,husband,49,1.16E-05
<s>,i',405,9.57E-05
<s>,i'd,1548,0.000365768
<s>,i'll,2477,0.000585276
<s>,i'm,12755,0.003013804
<s>,i've,6427,0.001518598
<s>,i,236088,0.055783845
<s>,ically,39,9.22E-06
<s>,ice,40,9.45E-06
<s>,id,263,6.21E-05
<s>,idea,47,1.11E-05
<s>,ides,36,8.51E-06
<s>,idn't,115,2.72E-05
<s>,idnut,98,2.32E-05
<s>,ie,40,9.45E-06
<s>,if,30696,0.007252977
<s>,ight,76,1.80E-05
<s>,ike,204,4.82E-05
<s>,il,118,2.79E-05
<s>,ile,35,8.27E-06
<s>,ill,366,8.65E-05
<s>,im,33,7.80E-06
<s>,imagine,663,0.000156656
<s>,ime,42,9.92E-06
<s>,in,38312,0.009052517
<s>,incorporated,392,9.26E-05
<s>,ind,84,1.98E-05
<s>,indeed,732,0.00017296
<s>,ing,758,0.000179103
<s>,ink,36,8.51E-06
<s>,inside,114,2.69E-05
<s>,instead,2379,0.00056212
<s>,iously,114,2.69E-05
<s>,ir,200,4.73E-05
<s>,is,6298,0.001488117
<s>,ish,105,2.48E-05
<s>,isn't,213,5.03E-05
<s>,isnut,76,1.80E-05
<s>,it's,14444,0.003412888
<s>,it,62639,0.014800601
<s>,its,1953,0.000461463
<s>,itus,13086,0.003092014
<s>,iu,248,5.86E-05
<s>,iud,1473,0.000348047
<s>,iull,1707,0.000403337
<s>,ium,8847,0.002090406
<s>,iuve,4471,0.001056426
<s>,j,34,8.03E-06
<s>,ja,42,9.92E-06
<s>,jack,164,3.88E-05
<s>,james,217,5.13E-05
<s>,je,36,8.51E-06
<s>,jesus,913,0.000215727
<s>,jo,99,2.34E-05
<s>,john,1119,0.000264402
<s>,ju,153,3.62E-05
<s>,just,7246,0.001712115
<s>,k,736,0.000173905
<s>,ke,83,1.96E-05
<s>,ked,45,1.06E-05
<s>,keep,1084,0.000256132
<s>,kids,91,2.15E-05
<s>,king,155,3.66E-05
<s>,knew,33,7.80E-06
<s>,know,282,6.66E-05
<s>,knowing,113,2.67E-05
<s>,ks,40,9.45E-06
<s>,l,1651,0.000390105
<s>,la,278,6.57E-05
<s>,large,37,8.74E-06
<s>,last,3440,0.000812817
<s>,later,885,0.000209111
<s>,ld,236,5.58E-05
<s>,le,799,0.000188791
<s>,least,99,2.34E-05
<s>,leave,418,9.88E-05
<s>,let's,921,0.000217618
<s>,let,2928,0.00069184
<s>,letus,1312,0.000310005
<s>,level,243,5.74E-05
<s>,li,211,4.99E-05
<s>,life,1099,0.000259676
<s>,like,3700,0.000874251
<s>,ling,34,8.03E-06
<s>,little,704,0.000166344
<s>,ll,480,0.000113416
<s>,lly,135,3.19E-05
<s>,lo,270,6.38E-05
<s>,lol,830,0.000196116
<s>,long,538,0.000127121
<s>,look,1321,0.000312131
<s>,looking,916,0.000216436
<s>,looks,41,9.69E-06
<s>,lord,38,8.98E-06
<s>,lots,708,0.000167289
<s>,love,1496,0.000353481
<s>,lso,319,7.54E-05
<s>,luckily,796,0.000188082
<s>,lways,75,1.77E-05
<s>,ly,349,8.25E-05
<s>,m,1629,0.000384907
<s>,ma,439,0.000103729
<s>,made,152,3.59E-05
<s>,make,1637,0.000386797
<s>,makes,398,9.40E-05
<s>,making,206,4.87E-05
<s>,man,251,5.93E-05
<s>,many,3188,0.000753274
<s>,mark,113,2.67E-05
<s>,may,1331,0.000314494
<s>,maybe,4567,0.00107911
<s>,mber,36,8.51E-06
<s>,me,2369,0.000559757
<s>,meanwhile,1085,0.000256368
<s>,mes,47,1.11E-05
<s>,mi,140,3.31E-05
<s>,michael,217,5.13E-05
<s>,might,128,3.02E-05
<s>,mix,669,0.000158074
<s>,mo,276,6.52E-05
<s>,mom,449,0.000106092
<s>,monday,147,3.47E-05
<s>,more,2715,0.000641511
<s>,moreover,78,1.84E-05
<s>,most,3647,0.000861728
<s>,mostly,207,4.89E-05
<s>,mother,41,9.69E-06
<s>,mr,1485,0.000350882
<s>,ms,92,2.17E-05
<s>,mu,35,8.27E-06
<s>,much,994,0.000234866
<s>,must,157,3.71E-05
<s>,my,24280,0.005736978
<s>,n't,57,1.35E-05
<s>,n,3560,0.000841171
<s>,na,114,2.69E-05
<s>,naturally,41,9.69E-06
<s>,nd,181,4.28E-05
<s>,ne,324,7.66E-05
<s>,need,115,2.72E-05
<s>,needless,486,0.000114834
<s>,neither,367,8.67E-05
<s>,never,1137,0.000268655
<s>,nevertheless,330,7.80E-05
<s>,new,1312,0.000310005
<s>,next,2220,0.000524551
<s>,ng,483,0.000114125
<s>,ngs,34,8.03E-06
<s>,nice,248,5.86E-05
<s>,ning,39,9.22E-06
<s>,nk,274,6.47E-05
<s>,nks,180,4.25E-05
<s>,nly,36,8.51E-06
<s>,no,10515,0.002484528
<s>,nobody,298,7.04E-05
<s>,none,525,0.000124049
<s>,nope,47,1.11E-05
<s>,nor,293,6.92E-05
<s>,normally,117,2.76E-05
<s>,not,10035,0.002371111
<s>,note,1221,0.000288503
<s>,nothing,1513,0.000357498
<s>,now,12678,0.00299561
<s>,nt,38,8.98E-06
<s>,nut,53,1.25E-05
<s>,nwhile,52,1.23E-05
<s>,o,1307,0.000308823
<s>,obama,39,9.22E-06
<s>,obviously,701,0.000165635
<s>,of,6713,0.001586175
<s>,off,36,8.51E-06
<s>,often,550,0.000129956
<s>,oh,5541,0.00130925
<s>,ok,1859,0.000439252
<s>,okay,1525,0.000360333
<s>,old,156,3.69E-05
<s>,on't,338,7.99E-05
<s>,on,9678,0.002286758
<s>,once,3974,0.000938993
<s>,one,11397,0.00269293
<s>,only,2265,0.000535184
<s>,onut,301,7.11E-05
<s>,ook,115,2.72E-05
<s>,ope,239,5.65E-05
<s>,or,6396,0.001511273
<s>,ording,146,3.45E-05
<s>,ore,163,3.85E-05
<s>,ortunately,148,3.50E-05
<s>,ose,42,9.92E-06
<s>,ost,34,8.03E-06
<s>,ot,389,9.19E-05
<s>,other,1953,0.000461463
<s>,others,429,0.000101366
<s>,otherwise,207,4.89E-05
<s>,ou,253,5.98E-05
<s>,ough,44,1.04E-05
<s>,ould,439,0.000103729
<s>,ouldnut,33,7.80E-06
<s>,ound,121,2.86E-05
<s>,our,5359,0.001266247
<s>,out,626,0.000147914
<s>,ov,55,1.30E-05
<s>,ove,476,0.000112471
<s>,oved,57,1.35E-05
<s>,over,1634,0.000386088
<s>,overall,697,0.00016469
<s>,ow,185,4.37E-05
<s>,oy,71,1.68E-05
<s>,p,549,0.00012972
<s>,pa,199,4.70E-05
<s>,paper,109,2.58E-05
<s>,part,690,0.000163036
<s>,paul,657,0.000155239
<s>,pe,204,4.82E-05
<s>,people,2458,0.000580786
<s>,perhaps,2421,0.000572044
<s>,personally,349,8.25E-05
<s>,peter,124,2.93E-05
<s>,pite,102,2.41E-05
<s>,pl,127,3.00E-05
<s>,place,1118,0.000264166
<s>,ple,200,4.73E-05
<s>,please,3357,0.000793206
<s>,plus,1367,0.000323
<s>,pm,487,0.00011507
<s>,po,143,3.38E-05
<s>,poor,191,4.51E-05
<s>,pour,601,0.000142007
<s>,pr,210,4.96E-05
<s>,preheat,597,0.000141062
<s>,pretty,519,0.000122631
<s>,probably,619,0.00014626
<s>,problem,87,2.06E-05
<s>,ps,894,0.000211238
<s>,pu,54,1.28E-05
<s>,put,935,0.000220926
<s>,py,55,1.30E-05
<s>,q,474,0.000111999
<s>,qu,35,8.27E-06
<s>,quite,448,0.000105855
<s>,r,1170,0.000276452
<s>,ra,113,2.67E-05
<s>,rather,734,0.000173433
<s>,re's,134,3.17E-05
<s>,re,2477,0.000585276
<s>,read,775,0.00018312
<s>,reading,163,3.85E-05
<s>,really,1182,0.000279288
<s>,recently,692,0.000163509
<s>,red,324,7.66E-05
<s>,regardless,217,5.13E-05
<s>,remember,1541,0.000364114
<s>,remove,677,0.000159964
<s>,rest,35,8.27E-06
<s>,reus,147,3.47E-05
<s>,ri,46,1.09E-05
<s>,ried,75,1.77E-05
<s>,right,1495,0.000353245
<s>,ro,111,2.62E-05
<s>,rs,39,9.22E-06
<s>,rse,66,1.56E-05
<s>,rst,47,1.11E-05
<s>,rt,86,2.03E-05
<s>,ry,383,9.05E-05
<s>,ryone,107,2.53E-05
<s>,rything,91,2.15E-05
<s>,s,7711,0.001821987
<s>,sa,173,4.09E-05
<s>,sadly,576,0.0001361
<s>,said,248,5.86E-05
<s>,same,158,3.73E-05
<s>,saturday,420,9.92E-05
<s>,say,78,1.84E-05
<s>,sc,51,1.21E-05
<s>,se,1098,0.00025944
<s>,second,742,0.000175323
<s>,sed,177,4.18E-05
<s>,see,2308,0.000545344
<s>,seeing,206,4.87E-05
<s>,seems,170,4.02E-05
<s>,seriously,910,0.000215019
<s>,serve,463,0.0001094
<s>,set,584,0.00013799
<s>,several,666,0.000157365
<s>,sh,388,9.17E-05
<s>,she's,1148,0.000271254
<s>,she,22941,0.005420594
<s>,sheus,814,0.000192335
<s>,short,33,7.80E-06
<s>,should,828,0.000195643
<s>,si,191,4.51E-05
<s>,sigh,110,2.60E-05
<s>,simple,39,9.22E-06
<s>,simply,39,9.22E-06
<s>,since,4085,0.000965221
<s>,sked,39,9.22E-06
<s>,small,116,2.74E-05
<s>,so,38400,0.00907331
<s>,some,7115,0.001681162
<s>,somehow,308,7.28E-05
<s>,someone,831,0.000196352
<s>,something,1278,0.000301971
<s>,sometimes,3072,0.000725865
<s>,son,83,1.96E-05
<s>,soon,611,0.00014437
<s>,sorry,1088,0.000257077
<s>,sounds,113,2.67E-05
<s>,sp,112,2.65E-05
<s>,speaking,691,0.000163272
<s>,sprinkle,41,9.69E-06
<s>,ss,51,1.21E-05
<s>,st,947,0.000223761
<s>,start,240,5.67E-05
<s>,started,46,1.09E-05
<s>,starting,116,2.74E-05
<s>,stay,447,0.000105619
<s>,step,517,0.000122159
<s>,still,2118,0.00050045
<s>,stir,661,0.000156184
<s>,stop,320,7.56E-05
<s>,story,69,1.63E-05
<s>,su,182,4.30E-05
<s>,such,1075,0.000254005
<s>,suddenly,334,7.89E-05
<s>,sunday,261,6.17E-05
<s>,sure,1304,0.000308114
<s>,surely,191,4.51E-05
<s>,sweet,119,2.81E-05
<s>,t's,234,5.53E-05
<s>,t,4945,0.001168425
<s>,ta,166,3.92E-05
<s>,take,1871,0.000442088
<s>,taking,286,6.76E-05
<s>,talk,126,2.98E-05
<s>,tarted,110,2.60E-05
<s>,tbsp,148,3.50E-05
<s>,te,236,5.58E-05
<s>,tead,170,4.02E-05
<s>,ted,55,1.30E-05
<s>,tell,509,0.000120269
<s>,ter,100,2.36E-05
<s>,terday,49,1.16E-05
<s>,tever,40,9.45E-06
<s>,th,6052,0.001429991
<s>,thank,3042,0.000718776
<s>,thankfully,522,0.00012334
<s>,thanks,3054,0.000721612
<s>,that's,3198,0.000755637
<s>,that,15016,0.003548042
<s>,thatus,3527,0.000833374
<s>,the,148819,0.035163567
<s>,their,2520,0.000595436
<s>,then,11384,0.002689858
<s>,ther,318,7.51E-05
<s>,there's,1851,0.000437362
<s>,there,21059,0.004975907
<s>,therefore,956,0.000225888
<s>,thereus,2035,0.000480838
<s>,these,7617,0.001799776
<s>,they're,781,0.000184538
<s>,they,24927,0.005889854
<s>,theyure,809,0.000191154
<s>,thing,113,2.67E-05
<s>,things,1002,0.000236757
<s>,think,1052,0.000248571
<s>,this,48637,0.011492151
<s>,those,2689,0.000635368
<s>,though,1834,0.000433345
<s>,thought,36,8.51E-06
<s>,three,910,0.000215019
<s>,through,827,0.000195407
<s>,throughout,183,4.32E-05
<s>,thursday,37,8.74E-06
<s>,thus,1031,0.000243609
<s>,ti,50,1.18E-05
<s>,till,99,2.34E-05
<s>,time,1158,0.000273617
<s>,ting,142,3.36E-05
<s>,tly,38,8.98E-06
<s>,to,12547,0.002964657
<s>,today,4500,0.001063279
<s>,together,40,9.45E-06
<s>,told,36,8.51E-06
<s>,tomorrow,600,0.00014177
<s>,tonight,425,0.000100421
<s>,too,876,0.000206985
<s>,took,107,2.53E-05
<s>,top,350,8.27E-05
<s>,total,160,3.78E-05
<s>,tr,102,2.41E-05
<s>,TRUE,109,2.58E-05
<s>,trust,157,3.71E-05
<s>,try,604,0.000142716
<s>,ts,37,8.74E-06
<s>,tsp,533,0.000125939
<s>,tuesday,76,1.80E-05
<s>,turn,146,3.45E-05
<s>,turns,79,1.87E-05
<s>,tus,303,7.16E-05
<s>,tw,34,8.03E-06
<s>,two,2137,0.000504939
<s>,ty,36,8.51E-06
<s>,u,2871,0.000678372
<s>,ually,38,8.98E-06
<s>,ub,378,8.93E-05
<s>,uca,94,2.22E-05
<s>,ucand,387,9.14E-05
<s>,ucbut,370,8.74E-05
<s>,uci,3005,0.000710034
<s>,ucif,398,9.40E-05
<s>,ucit,622,0.000146969
<s>,ucitus,480,0.000113416
<s>,ucium,368,8.70E-05
<s>,ucn,35,8.27E-06
<s>,ucno,201,4.75E-05
<s>,ucoh,123,2.91E-05
<s>,ucs,39,9.22E-06
<s>,ucso,39,9.22E-06
<s>,uct,139,3.28E-05
<s>,ucthe,1934,0.000456973
<s>,ucthere,144,3.40E-05
<s>,ucthis,388,9.17E-05
<s>,ucw,142,3.36E-05
<s>,ucwe,1028,0.0002429
<s>,ucwhat,524,0.000123813
<s>,ucy,71,1.68E-05
<s>,ucyou,886,0.000209348
<s>,ud,215,5.08E-05
<s>,uess,139,3.28E-05
<s>,ugh,200,4.73E-05
<s>,uld,82,1.94E-05
<s>,ultimately,73,1.72E-05
<s>,un,175,4.13E-05
<s>,under,511,0.000120741
<s>,unfortunately,1984,0.000468788
<s>,unless,540,0.000127593
<s>,unlike,563,0.000133028
<s>,until,1225,0.000289448
<s>,up,545,0.000128775
<s>,update,339,8.01E-05
<s>,upon,275,6.50E-05
<s>,ure,142,3.36E-05
<s>,us,725,0.000171306
<s>,use,851,0.000201078
<s>,using,882,0.000208403
<s>,ust,368,8.70E-05
<s>,usually,617,0.000145787
<s>,ut,429,0.000101366
<s>,ve,378,8.93E-05
<s>,ven,44,1.04E-05
<s>,very,1138,0.000268891
<s>,vested,252,5.95E-05
<s>,w,360,8.51E-05
<s>,wa,125,2.95E-05
<s>,wait,311,7.35E-05
<s>,want,179,4.23E-05
<s>,was,3089,0.000729882
<s>,watch,198,4.68E-05
<s>,water,34,8.03E-06
<s>,way,229,5.41E-05
<s>,we'll,560,0.000132319
<s>,we're,1164,0.000275035
<s>,we've,906,0.000214073
<s>,we,44418,0.010495268
<s>,welcome,630,0.000148859
<s>,well,8696,0.002054727
<s>,went,96,2.27E-05
<s>,were,351,8.29E-05
<s>,weull,298,7.04E-05
<s>,weure,945,0.000223288
<s>,weuve,683,0.000161382
<s>,wh,1347,0.000318275
<s>,what's,733,0.000173196
<s>,what,18214,0.004303679
<s>,whatever,943,0.000222816
<s>,whatus,779,0.000184065
<s>,when,20034,0.004733716
<s>,whenever,231,5.46E-05
<s>,where,2468,0.000583149
<s>,whether,1100,0.000259913
<s>,which,2947,0.000696329
<s>,while,6742,0.001593028
<s>,whilst,134,3.17E-05
<s>,white,235,5.55E-05
<s>,who,2997,0.000708144
<s>,whole,33,7.80E-06
<s>,why,5637,0.001331934
<s>,wi,342,8.08E-05
<s>,will,2066,0.000488163
<s>,with,7778,0.001837818
<s>,within,436,0.00010302
<s>,without,1136,0.000268419
<s>,wo,116,2.74E-05
<s>,women,215,5.08E-05
<s>,work,35,8.27E-06
<s>,would,1511,0.000357025
<s>,wow,908,0.000214546
<s>,write,46,1.09E-05
<s>,writing,160,3.78E-05
<s>,x,95,2.24E-05
<s>,y,3184,0.000752329
<s>,yay,241,5.69E-05
<s>,ye,225,5.32E-05
<s>,yeah,1394,0.00032938
<s>,years,320,7.56E-05
<s>,yep,508,0.000120032
<s>,yes,4874,0.001151649
<s>,yesterday,1260,0.000297718
<s>,yet,2259,0.000533766
<s>,yo,503,0.000118851
<s>,you'll,413,9.76E-05
<s>,you're,669,0.000158074
<s>,you,27933,0.006600124
<s>,your,3042,0.000718776
<s>,youull,393,9.29E-05
<s>,youure,816,0.000192808
<s>,youuve,82,1.94E-05
<s>,ys,40,9.45E-06
a,.,3619,0.008066475
a,baby,1306,0.002910975
a,bad,2095,0.004669595
a,bag,462,0.001029763
a,ball,112,0.000249639
a,band,271,0.000604038
a,beautiful,1995,0.004446703
a,beer,861,0.001919103
a,better,2535,0.005650322
a,big,5684,0.012669203
a,bigger,319,0.000711027
a,birthday,204,0.0004547
a,bit,14105,0.031438971
a,black,1020,0.002273502
a,blast,359,0.000800184
a,blessing,194,0.000432411
a,blog,1361,0.003033565
a,body,71,0.000158254
a,boil,38,8.47E-05
a,book,3338,0.007440148
a,bottle,727,0.001620428
a,bowl,668,0.001488921
a,box,666,0.001484463
a,boy,737,0.001642717
a,brand,374,0.000833618
a,break,950,0.002117478
a,brief,763,0.001700669
a,bright,176,0.000392291
a,brilliant,81,0.000180543
a,bunch,1781,0.003969713
a,bus,38,8.47E-05
a,business,670,0.001493379
a,busy,570,0.001270487
a,call,621,0.001384162
a,car,1060,0.002362659
a,card,1041,0.00232031
a,career,195,0.00043464
a,case,631,0.001406451
a,cat,74,0.00016494
a,certain,1959,0.004366462
a,chair,38,8.47E-05
a,challenge,727,0.001620428
a,chance,2364,0.005269176
a,change,759,0.001691753
a,character,668,0.001488921
a,child,2395,0.005338273
a,choice,560,0.001248197
a,christian,472,0.001052052
a,christmas,233,0.000519339
a,church,196,0.000436869
a,city,504,0.001123378
a,class,366,0.000815786
a,classic,397,0.000884883
a,clean,120,0.000267471
a,clear,709,0.001580307
a,close,609,0.001357415
a,cold,619,0.001379704
a,collection,484,0.001078799
a,combination,418,0.00093169
a,comment,1448,0.003227482
a,common,631,0.001406451
a,community,268,0.000597352
a,company,474,0.00105651
a,complete,923,0.002057297
a,completely,121,0.0002697
a,computer,290,0.000646388
a,constant,143,0.000318736
a,conversation,569,0.001268258
a,cool,402,0.000896027
a,copy,995,0.002217779
a,country,608,0.001355186
a,couple,8552,0.019061757
a,crazy,317,0.000706569
a,crime,108,0.000240724
a,cup,731,0.001629343
a,cute,460,0.001025305
a,daily,581,0.001295005
a,dark,674,0.001502295
a,date,114,0.000254097
a,day,3911,0.008717321
a,dead,70,0.000156025
a,deal,37,8.25E-05
a,decade,508,0.001132293
a,decent,712,0.001586994
a,decision,442,0.000985184
a,deep,921,0.002052839
a,degree,292,0.000650846
a,difference,829,0.001847778
a,different,2999,0.006684543
a,difficult,360,0.000802413
a,direct,120,0.000267471
a,doctor,296,0.000659761
a,dog,658,0.001466632
a,double,537,0.001196932
a,dozen,601,0.001339583
a,dream,745,0.001660548
a,drink,245,0.000546086
a,fabulous,497,0.001107775
a,fair,732,0.001631572
a,fairly,551,0.001228137
a,family,1726,0.003847123
a,fan,1034,0.002304707
a,fantastic,817,0.001821031
a,favorite,370,0.000824702
a,feeling,594,0.001323981
a,female,73,0.000162711
a,few,24068,0.053645739
a,fight,75,0.000167169
a,film,714,0.001591452
a,final,147,0.000327652
a,fine,678,0.00151121
a,fire,72,0.000160483
a,first,638,0.001422053
a,food,326,0.000726629
a,form,375,0.000835846
a,former,594,0.001323981
a,free,1127,0.002511997
a,fresh,416,0.000927232
a,friend,2717,0.006055986
a,full,1777,0.003960798
