"word","freq"
"all of you",875
"make sure to",874
"to talk about",873
"be at the",872
"love you so",872
"we love you",871
"i love how",871
"forward to it",870
"i would like",870
"needs to be",867
"and i am",866
"but i have",861
"for the day",859
"in a row",857
"out to the",856
"i love u",853
"m about to",844
"we had a",842
"because i m",841
"is the only",840
"i m done",838
"you won t",835
"for the retweet",832
"when it s",827
"you follow me",827
"in the same",826
"what did you",826
"i would be",822
"i ain t",815
"that i can",815
"don t see",813
"congrats on the",810
"glad to hear",809
"but don t",808
"want to know",808
"why can t",805
"it looks like",802
"ready to go",800
"have to get",799
"and i are",798
"me if you",798
"that i have",798
"to see my",798
"was a great",797
"why are you",794
"on the radio",790
"stay tuned for",789
"to find out",785
"i go to",780
"to get out",777
"didn t even",773
"you have any",772
"need to go",772
"when are you",770
"i m watching",768
"to get back",768
"there will be",766
"will have to",762
"is the most",760
"me and my",760
"when it comes",760
"to get it",757
"and i don",756
"he doesn t",756
"you ve been",755
"that doesn t",755
"reminds me of",753
"what you re",749
"just can t",745
"i can see",743
"oh my god",743
"for a few",739
"it s hard",739
"s day to",739
"i wanna go",737
"thanks to for",734
"there was a",734
"will be at",733
"feel free to",732
"for the weekend",730
"and we ll",728
"to do a",726
"take care of",725
"it s only",724
"don t give",723
"going to bed",722
"thanks for coming",721
"i m good",720
"had a good",718
"for a new",715
"good to see",712
"a fan of",707
"i know right",707
"just got a",707
"doesn t have",706
"don t do",705
"i do not",705
"me and i",703
"on the road",703
"really don t",703
"i really want",702
"hope you had",701
"going to do",700
"it i m",700
"and you re",699
"im going to",698
"why do i",698
"if i could",693
"working on a",693
"know you re",692
"so much to",692
"talk to me",690
"in the house",689
"really want to",689
"i m excited",687
"no matter how",687
"to see a",683
"a few days",681
"good luck to",681
"is about to",681
"would have been",681
"can t find",680
"that you re",680
"why is it",677
"what the hell",677
"lol i m",676
"do you like",674
"such a great",673
"proud of you",670
"thanks to everyone",669
"to catch up",668
"all of our",666
"on the phone",666
"what s going",666
"first day of",666
"i thought you",664
"of the most",664
"talk to you",664
"you re doing",663
"don t make",658
"wait to get",657
"just wanted to",655
"s your favorite",655
"that is a",655
"don t feel",653
"for all of",653
"will be there",652
"isn t it",650
"up on the",650
"check us out",648
"when you have",647
"to see if",646
"to work with",646
"if i was",646
"and it was",644
"is like a",644
"valentine s day",642
"at least i",642
"all of my",641
"but i am",641
"you can get",641
"wouldn t be",639
"just have to",639
"last day of",636
"most of the",635
"it is the",634
"i live in",633
"to hear that",631
"a good thing",629
"i know that",628
"me want to",628
"as well as",625
"will be on",624
"if i had",622
"m not a",622
"you get a",621
"and thanks for",619
"what are your",619
"it in the",616
"s going on",616
"have to say",614
"ve got a",613
"i m back",611
"please don t",611
"in the next",608
"who you are",608
"to get some",608
"make it to",607
"me in the",607
"best of luck",606
"time for a",605
"for the support",604
"know what to",603
"to find a",601
"ll be in",598
"and now i",597
"we want to",597
"be the best",596
"get ready for",594
"in your life",594
"the last time",594
"the way you",594
"to get in",593
"i am in",592
"having a great",590
"t make it",589
"you think you",587
"s why i",587
"s the best",585
"i could be",584
"look like a",583
"to work on",582
"yeah i m",581
"why don t",579
"but that s",578
"we ll have",578
"up for the",574
"check out my",570
"just had a",569
"nice to meet",568
"i got to",567
"for the new",566
"to tell you",563
"i ll get",560
"get to see",557
"can do it",554
"in the first",554
"great way to",551
"let s see",549
"i m here",548
"rt it s",548
"i d rather",545
"in order to",545
"come to the",543
"to come to",540
"the best of",539
"but it was",538
"on the th",536
"chance to win",536
"i just wanna",534
"i should be",534
"have a wonderful",534
"for the rest",533
"you i m",532
"we d love",531
"what you do",529
"seems to be",526
"s not a",525
"you are not",524
"it should be",523
"what happened to",521
"i m always",519
"last night i",517
"sorry to hear",515
"i m tired",514
"to go back",514
"for your support",513
"that s so",513
"why do you",513
"was a good",511
"like to see",510
"excited to be",510
"it comes to",510
"you re right",509
"i wish you",508
"it s friday",506
"we re going",506
"of the night",505
"this is my",505
"i need some",504
"that you are",504
"in the face",504
"the world is",503
"i m working",502
"day of the",500
"it s really",500
"is your favorite",495
"like it s",495
"listening to the",495
"you should be",495
"i ve heard",494
"in the studio",494
"just saw a",492
"i was thinking",491
"i was going",490
"and have a",488
"can t stand",487
"t know if",487
"i know what",487
"that s just",485
"you on the",483
"i hope i",481
"the other day",476
"feel like a",475
"to win a",475
"i m having",473
"join us for",473
"and thank you",472
"tonight at the",470
"to be an",470
"that is the",469
"you for following",469
"of course i",468
"you like it",468
"i cant wait",466
"it s on",465
"the hunger games",465
"i hate it",463
"u don t",461
"it was so",461
"it s always",460
"that i am",454
"today is the",454
"how do i",453
"what s good",453
"you like to",453
"i got my",452
"it makes me",451
"forward to your",450
"and i was",449
"best way to",449
"want me to",447
"are in the",442
"just found out",441
"to be at",440
"in the past",436
"so much i",434
"i was there",432
"i feel so",432
"what you want",429
"need to do",427
"mothers day to",426
"i dont know",425
"because it s",424
"with all the",423
"all of us",422
"all over the",422
"what it is",420
"it was the",419
"have you ever",419
"can t do",418
"in san diego",416
"not sure if",416
"want you to",416
"if you like",415
"do the same",412
"thought i was",403
"i have an",403
"for some reason",402
"i miss my",400
"excited for the",399
"i just don",399
"look at the",398
"in the car",398
"would you like",395
"you go to",394
"you have the",392
"she s a",390
"sorry for the",389
"to you and",388
"you and i",385
"when you are",385
"to wake up",383
"up with the",383
"here we go",382
"tonight at pm",382
"about to go",380
"so glad you",378
"i look forward",378
"but i love",376
"did you see",376
"it s an",375
"so you can",375
"he didn t",374
"it s good",374
"can t help",372
"nice to see",371
"i was like",370
"it it s",370
"up with a",369
"he s not",368
"to the gym",367
"in the s",366
"i think he",366
"are you in",365
"t get it",364
"back to work",363
"if you love",362
"you aren t",362
"you know how",361
"at a time",360
"went to the",359
"in the city",356
"think i ll",356
"in the future",355
"really need to",355
"m so excited",355
"in the last",353
"well i m",353
"a good idea",352
"of all time",351
"is not the",350
"to see how",350
"i like that",349
"us know if",349
"we can do",349
"the name of",347
"i think they",347
"to hear it",342
"i m happy",341
"to do that",339
"people don t",337
"to do the",337
"in new york",337
"if you haven",335
"have a lot",332
"i ll try",332
"you need a",331
"for following us",330
"for more info",327
"that s right",326
"i still have",326
"it is not",325
"learn how to",325
"ready for a",325
"that you can",324
"out in the",324
"keep it up",323
"now that s",323
"the people who",320
"s hard to",320
"wait to hear",320
"wanna go to",317
"and i just",316
"next to me",316
"makes me feel",315
"are you a",314
"didn t see",312
"we ve been",308
"i really need",307
"today i m",307
"about to get",307
"i should have",307
"the best way",306
"t do it",306
"i woke up",306
"so much better",305
"out on the",305
"the best thing",303
"i was at",302
"don t go",301
"if you were",300
"glad to see",299
"hate it when",299
"to get your",298
"go to school",298
"one of them",297
"come back to",295
"here s to",295
"to make the",290
"i could have",290
"so it s",288
"off to the",288
"you think of",288
"i hope it",287
"is my favorite",284
"good luck with",284
"this is why",283
"a great week",276
"have a new",275
"waiting for the",275
"to be able",275
"i ll just",274
"but if you",273
"on the new",273
"all of your",272
"on my mind",271
"to say i",271
"thanks to the",270
"to be back",270
"don t really",269
"glad you enjoyed",269
"to go home",269
"of all the",269
"a shout out",268
"we didn t",268
"a long day",267
"give you a",266
"just got back",265
"a ton of",264
"it on the",264
"made my day",263
"a picture of",261
"first time in",261
"the only way",261
"a great night",260
"i ll see",257
"i got the",256
"the time to",256
"follow me on",255
"i will never",255
"is better than",254
"isn t a",252
"a good night",251
"it won t",249
"of the season",249
"good to be",249
"on my phone",248
"it s too",247
"all i want",247
"up to the",246
"now i have",246
"much as i",245
"it s almost",245
"it s still",244
"you are in",243
"if you do",243
"just woke up",243
"make it happen",243
"you know the",242
"had a blast",242
"i really don",241
"in the office",241
"has been a",240
"trying to figure",239
"to me i",238
"at this point",238
"that s good",238
"the top of",237
"to the next",237
"will always be",236
"think you re",236
"you re just",234
"love it when",234
"we hope you",231
"i ll never",230
"yes i am",230
"on the bus",229
"the way i",228
"thank you and",227
"at the moment",226
"but you can",225
"to do something",225
"not a good",224
"will not be",224
"who doesn t",223
"the same way",223
"to seeing you",223
"i try to",222
"nothing to do",221
"m in the",220
"and can t",220
"we re all",219
"to start the",217
"ll see you",216
"i swear i",216
"ll be back",215
"don t tell",215
"for the love",215
"is going on",215
"know if i",215
"don t mind",215
"the power of",214
"who don t",214
"going to go",214
"i hate that",214
"are you guys",213
"to hang out",211
"side of the",211
"to hear about",211
"just need to",210
"as good as",210
"what would you",209
"way to the",208
"i am the",208
"yes i m",208
"you d like",207
"and we re",206
"if you think",206
"makes me want",206
"last time i",206
"way to start",206
"now that i",206
"in the th",205
"you re having",205
"is just a",205
"have the best",204
"i ll let",204
"i can be",203
"to get up",202
"isn t that",202
"you have an",201
"and a half",200
"up the good",199
"i told you",199
"now i can",199
"being able to",199
"love to hear",198
"to get on",197
"how did you",193
"if you could",193
"was the best",193
"to my new",192
"all i can",192
"shouldn t be",192
"you got it",191
"i hate the",190
"day in the",189
"want to hear",189
"i get it",189
"i wonder how",188
"looks like i",188
"to make sure",188
"can you please",187
"i want you",187
"going to make",186
"t know why",186
"that was the",186
"hope it s",186
"it s true",185
"when you can",184
"follow me and",183
"in the end",183
"it has been",183
"to have to",182
"for a good",182
"doesn t make",181
"the difference between",180
"can t see",179
"even though i",178
"to pick up",178
"no i m",178
"i had the",177
"out how to",177
"i like your",177
"on top of",177
"to all who",177
"u have a",177
"be one of",177
"it s funny",175
"it isn t",173
"welcome to twitter",172
"is why i",172
"t believe i",172
"a bit of",171
"you have no",171
"i m an",171
"glad to be",171
"see you on",171
"up for a",170
"at the gym",170
"in a long",170
"get rid of",169
"i really like",168
"the good work",168
"to you too",168
"to look at",168
"need to stop",168
"of your life",166
"on the other",166
"might as well",166
"give us a",166
"but i know",165
"in the air",165
"i m feeling",164
"are you coming",164
"to say that",164
"i wonder what",163
"back on the",163
"can t make",163
"i m too",163
"the day i",163
"and you can",163
"come up with",163
"i ve always",162
"some of my",161
"have you seen",160
"know what s",159
"thanks for being",157
"thank god for",157
"a few weeks",157
"i hate you",156
"me it s",155
"know when you",155
"we re not",155
"can t go",153
"you please follow",153
"one of your",153
"would be the",153
"how can i",153
"i m all",152
"there s nothing",152
"for the best",152
"didn t want",151
"we re in",151
"good for you",151
"me i love",150
"he is a",149
"what s wrong",149
"i love her",149
"it s in",148
"can make it",147
"the follow i",147
"you are doing",147
"and if you",147
"i did not",146
"i will not",146
"you in a",145
"who came out",145
"tell me what",145
"no idea what",144
"we are so",144
"need to know",144
"glad you like",143
"that s great",143
"to be there",143
"how about you",142
"in honor of",142
"i think my",141
"out for the",141
"to do is",139
"please tell me",138
"to know what",138
"i know the",138
"i d say",137
"pretty sure i",137
"of the game",136
"they can t",136
"re having a",136
"this is not",135
"but i will",135
"is it just",135
"let s make",135
"guess i ll",135
"me know when",134
"i love when",133
"would be great",133
"you as well",133
"happy to be",133
"in the mail",132
"be with you",132
"they need to",132
"s time for",132
"have to wait",131
"i might be",131
"heading to the",131
"top of the",130
"what you are",130
"the world to",130
"to go on",130
"we can get",130
"in a good",130
"but it is",129
"in the rain",129
"glad you re",128
"if it was",128
"me on twitter",128
"we can help",127
"where do you",127
"so glad i",127
"to come out",127
"ll let you",127
"for the last",126
"if i don",126
"is it that",125
"here i come",125
"time to go",124
"cant wait for",124
"love you guys",124
"i m like",123
"t wait till",123
"are looking for",122
"last night and",122
"my mom is",122
"me when i",121
"go to a",121
"trying to make",121
"and we will",120
"so hard to",119
"you ain t",119
"just saw the",119
"this is what",118
"i want some",118
"time for the",118
"got back from",117
"that s cool",117
"and i think",117
"is having a",117
"be a part",117
"it but i",116
"middle of the",116
"was one of",115
"what i do",115
"is that a",115
"i m already",115
"i just finished",115
"we are going",114
"love you and",114
"i just need",114
"was in the",114
"don t take",114
"on how to",113
"what are the",113
"a pair of",113
"i ll give",113
"made it to",113
"doesn t matter",112
"will never be",112
"me too i",111
"why i m",111
"you very much",111
"i m bored",110
"thank you very",110
"way to get",110
"not to be",109
"on the floor",109
"more than a",108
"to hear from",108
"so happy to",107
"to make me",106
"s all about",106
"is the first",106
"it s pretty",106
"you can be",105
"to tell me",105
"lot of people",105
"of the time",104
"a few hours",104
"we have the",103
"it didn t",103
"it ain t",103
"you can make",103
"day at the",103
"to get you",102
"it s ok",102
"be back in",102
"for the great",101
"going to sleep",101
"m ready to",100
"out of a",100
"s in the",100
"it s okay",100
"but i still",100
"away from the",99
"yes it is",99
"they didn t",99
"you but i",99
"they re not",99
"this is going",99
"i need more",99
"need a new",99
"be a long",99
"you re on",99
"hell of a",98
"it s official",98
"s one of",98
"you it s",98
"i just had",97
"there is nothing",97
"to go out",97
"i ll do",97
"m glad you",97
"didn t think",96
"have been a",96
"say i m",96
"night at the",96
"send me a",96
"live in the",95
"have the same",95
"am i the",95
"maybe i ll",95
"last night was",94
"on the same",94
"for a week",94
"going back to",94
"i guess it",94
"not sure what",94
"for you and",93
"i m starting",93
"does that mean",93
"it s amazing",91
"are having a",91
"glad you liked",90
"you re gonna",89
"i wake up",89
"good to know",89
"i will have",88
"wouldn t have",87
"a great show",87
"proud to be",87
"it s great",86
"last night s",86
"hang out with",86
"the new year",86
"may not be",86
"can you follow",85
"down to the",85
"had no idea",85
"in the game",85
"i love him",84
"i m hungry",84
"the last day",84
"great to meet",84
"it when i",84
"me if i",83
"how many times",83
"we will have",83
"to see your",83
"what i want",83
"you must be",83
"a year old",83
"be the same",83
"i the only",83
"not in the",83
"where s the",82
"it seems like",82
"or is it",82
"i may have",82
"if you ever",82
"we would love",82
"i had no",82
"i just realized",82
"if we can",81
"in need of",81
"so much more",81
"for me i",81
"and then i",81
"in the mood",81
"stop by and",81
"like a good",81
"to see that",81
"me know what",81
"what the fuck",81
"going to try",80
"i m with",80
"such a good",80
"hanging out with",80
"i wanna be",80
"ve ever seen",80
"re looking for",80
"to hear you",80
"i am now",80
"is the new",80
"they have a",79
"i hope to",79
"want to make",79
"coming to the",79
"soon as i",79
"make it a",79
"i m very",78
"t let me",78
"don t believe",78
"and i ve",78
"so i ll",78
"a few more",78
"t get to",78
"for the rts",78
"to one of",77
"you are going",77
"but i just",77
"i know how",76
"when i see",76
"i have never",76
"might have to",76
"s a beautiful",76
"could be a",75
"like to be",74
"get to the",72
"a lot more",72
"first time i",72
"to take the",71
"who do you",71
"not the only",70
"i ll keep",70
"t have any",70
"around the corner",69
"and of course",69
"not sure i",69
"we are all",69
"and all the",69
"haven t had",68
"don t remember",68
"is coming to",68
"people in the",68
"t seem to",68
"would be so",68
"got a new",68
"how can you",68
"guess i m",67
"to have the",67
"you get to",67
"just finished a",67
"need to make",67
"think about it",67
"to come back",67
"to be so",67
"to those who",67
"for all your",67
"come see us",66
"is looking for",66
"to do this",66
"a lot to",66
"i m actually",66
"just trying to",66
"rt thanks for",66
"that is all",66
"but i ve",66
"just going to",66
"isn t the",65
"think i have",65
"m sure you",65
"do you do",65
"in the back",65
"you to all",65
"that i don",65
"today it s",65
"quote of the",65
"have so much",65
"stuck in my",65
"when i have",65
"and this is",64
"hate when people",64
"s up with",64
"to the game",64
"to deal with",64
"but i do",64
"do i have",64
"how to get",64
"it d be",64
"the only person",64
"a great way",64
"time i m",64
"seem to be",64
"i have ever",64
"that will be",64
"i wanna see",64
"t been on",64
"i was on",64
"t feel like",63
"we need a",63
"love to have",63
"working on the",63
"for coming out",63
"birthday to my",63
"i hope that",63
"out of your",63
"the one who",63
"and get a",63
"i could go",63
"t have the",63
"is what i",62
"that you have",62
"you thank you",62
"so to my",62
"a wonderful day",62
"just got my",62
"last night at",62
"didn t realize",62
"i know but",62
"and you ll",61
"can help you",61
"talking about the",61
"congrats on your",61
"for a long",61
"it feels like",61
"for a reason",61
"what you have",60
"the back of",56
"everyone has a",55
"to hit the",55
"my new followers",54
"out of this",54
"does anyone know",54
"trying to find",54
"you get the",54
"m not going",54
"one of these",54
"i got you",53
"next time i",53
"won t let",53
"me but i",53
"ll be at",53
"think i ve",52
"you do not",52
"good to hear",52
"sign up for",52
"you ll have",52
"catching up on",51
"but you re",51
"t wait until",51
"what a beautiful",51
"why do people",51
"if i have",51
"it to be",51
"you if you",51
"hope everyone has",51
"in this world",51
"it s called",51
"we are looking",51
"where is the",51
"thought you were",51
"i agree with",51
"make me feel",51
"how i feel",50
"t need to",50
"yeah it s",50
"i saw you",50
"go to work",50
"to be one",50
"i just love",50
"looks like it",50
"aren t you",50
"how was your",50
"there are no",50
"need to see",50
"are you ready",50
"i m out",49
"had a dream",49
"i love to",49
"how to use",49
"to a great",49
"you re still",49
"the beginning of",49
"so many people",49
"you know when",49
"oh my gosh",49
"i think so",48
"for the shoutout",48
"in my room",48
"i think about",48
"got to be",48
"this will be",48
"that don t",48
"a nice day",48
"it can be",48
"on the show",48
"you see the",48
"have time to",48
"give it a",48
"new year s",47
"right about now",47
"me so i",47
"still can t",47
"might be a",47
"we re so",47
"be part of",47
"i just found",47
"know what it",47
"figure out how",47
"i ll send",47
"still don t",47
"take a look",47
"of the new",47
"out of town",47
"know how i",47
"we re looking",47
"this year s",47
"yes it s",47
"i hope the",46
"need to start",46
"we re excited",46
"i m talking",46
"if i were",46
"haven t heard",46
"the ability to",46
"i can say",46
"who i am",46
"you would like",46
"a piece of",46
"what is it",46
"would be awesome",46
"i ll check",46
"t be a",46
"i ll go",46
"forward to a",46
"for the kind",46
"while you re",45
"get in the",45
"my name is",45
"ve never been",45
"beautiful day in",45
"trying to be",45
"to see them",45
"do what you",44
"in the day",43
"i look like",41
"out for a",39
"the time i",38
"you never know",38
"can t take",38
"m looking forward",37
"have a nice",37
"is so much",37
"in the new",37
"hope everyone had",37
"lol it s",37
"a matter of",37
"my life is",37
"he s the",37
"you are welcome",36
"t know you",36
"i m taking",36
"how to make",36
"i hope so",36
"in the works",36
"patrick s day",36
"better than the",36
"thank you all",36
"the one that",36
"t go to",36
"that i was",36
"fall in love",36
"to buy a",35
"to think about",35
"i have my",35
"i miss the",35
"no need to",35
"ready to get",35
"will be back",35
"everyone who came",35
"can t have",35
"is full of",35
"doesn t work",35
"is that the",34
"well that s",34
"for the night",34
"i was so",34
"you should follow",34
"that is so",34
"it was just",34
